text,department
The hostel room fan is not working since two days,Hostel
No hot water in the boys hostel bathroom,Hostel
My roommate keeps playing loud music at night in the hostel,Hostel
The hostel mess warden is not answering our requests,Hostel
There is a water leakage in my hostel room ceiling,Hostel
The hostel room lights keep flickering and need repair,Hostel
Cockroaches are found in the hostel corridor please clean,Hostel
Hostel gate closing time is too early for students,Hostel
The bed and mattress in my hostel room are broken,Hostel
Washrooms on the third floor of the hostel are very dirty,Hostel
Electricity keeps going off in the hostel block B,Hostel
My hostel room key is lost and I need a duplicate,Hostel
The hostel laundry service has lost my clothes,Hostel
Drinking water cooler on the hostel floor is broken,Hostel
Visitors are allowed inside the hostel without permission,Hostel
I want to change my hostel room because of noise,Hostel
The library is too noisy for studying,Library
I could not find the data structures book in the library,Library
Library books are not returned on time by other students,Library
The library closes too early during exam time,Library
Please add more copies of the operating systems textbook to the library,Library
The library card was not renewed for this semester,Library
Air conditioning in the reading room of the library is not working,Library
I was charged a wrong fine for a late book return,Library
The library computer for catalog search is not working,Library
There are not enough seats in the library reading hall,Library
Journals and research papers are not accessible from the library portal,Library
The library staff was rude when I asked for a book,Library
I lost a library book and want to know the replacement process,Library
Newspapers and magazines are missing from the library section,Library
Library lights are dim and it is hard to read,Library
Request to extend the book issue period in the library,Library
The canteen food was stale and tasted bad,Canteen
Prices of snacks in the canteen have increased too much,Canteen
The canteen tables are dirty and not cleaned,Canteen
I found an insect in my food at the canteen,Canteen
The canteen does not offer enough vegetarian options,Canteen
Long queue at the canteen during lunch break,Canteen
The canteen staff overcharged me for a sandwich,Canteen
Drinking water is not available in the canteen,Canteen
Please add healthy food like salads to the canteen menu,Canteen
Canteen food made me sick with stomach pain,Canteen
The tea and coffee at the canteen is always cold,Canteen
The canteen closes before the evening lectures end,Canteen
Canteen utensils and plates are not washed properly,Canteen
The canteen kitchen area smells bad and looks unhygienic,Canteen
Online payment is not accepted at the canteen counter,Canteen
The portions of food served in the canteen are very small,Canteen
My exam hall ticket has the wrong name printed,Exam
The exam timetable clashes with another paper,Exam
Results of the last semester have not been declared yet,Exam
I want to apply for revaluation of my answer sheet,Exam
The marks in my internal assessment are entered wrongly,Exam
The question paper had questions out of the syllabus,Exam
I missed the exam due to illness and need a re-exam,Exam
There was no proper seating arrangement in the examination hall,Exam
My exam form fee payment is not reflected,Exam
The invigilator was unfair during the examination,Exam
The mark sheet has a spelling mistake in my name,Exam
Please publish the exam schedule earlier,Exam
Need a duplicate hall ticket for tomorrow exam,Exam
The practical exam date was changed without informing students,Exam
The result shows absent even though I appeared for the exam,Exam
Request for exam fee waiver for the backlog paper,Exam
The college bus is always late in the morning,Transport
The bus route does not cover our area,Transport
The bus driver drives rashly and over speeds,Transport
There are not enough buses for students in the evening,Transport
The bus seats are broken and uncomfortable,Transport
The bus pass fee has been increased suddenly,Transport
The bus did not come today and I missed my lecture,Transport
I want a new bus stop near the railway station,Transport
The bus is overcrowded and students are standing,Transport
Bus timing does not match with the college schedule,Transport
The bus conductor was rude to students,Transport
The college bus broke down on the highway,Transport
Request for a bus pass renewal for this year,Transport
The bus has no lights and is unsafe at night,Transport
Parking space for bikes near the college gate is full,Transport
The shuttle from the metro station has stopped running,Transport
The college wifi is very slow in the classrooms,IT
I cannot login to the student portal with my password,IT
The projector in the classroom is not working,IT
Computers in the lab are very slow and keep hanging,IT
The wifi is not connecting in the hostel and library area,IT
My college email account has been blocked,IT
The internet is down in the computer lab,IT
Software required for the practical is not installed on lab computers,IT
The online attendance portal shows wrong data,IT
The lab printer is not working and needs toner,IT
I forgot my ERP password and need to reset it,IT
The lab keyboard and mouse are broken,IT
The video lecture platform keeps crashing during class,IT
Please increase the wifi speed and bandwidth,IT
The smart board in the classroom is not responding,IT
Need access to the licensed software for my project,IT
